Ref,Val,Package,PosX,PosY,Rot,Side
"R42","220R","R_0402_1005Metric",-57.500000,-8.100000,0.000000,bottom
"R44","220R","R_0402_1005Metric",-57.500000,-9.100000,0.000000,bottom
"R46","DNP","R_0402_1005Metric",-15.625000,-30.200000,180.000000,bottom
"R47","1K","R_0402_1005Metric",-14.675000,-30.200000,180.000000,bottom
"R48","1K","R_0402_1005Metric",-15.625000,-31.150000,180.000000,bottom
"R49","DNP","R_0402_1005Metric",-14.675000,-31.150000,180.000000,bottom
"R50","DNP","R_0402_1005Metric",-15.650000,-32.100000,180.000000,bottom
"R51","1K","R_0402_1005Metric",-14.675000,-32.100000,180.000000,bottom
"R54","20R","R_0402_1005Metric",-38.750000,-6.950000,-90.000000,bottom
"R55","4k7","R_0402_1005Metric",-14.300000,-33.450000,180.000000,bottom
"R56","124k","R_0402_1005Metric",-51.842500,-27.342500,-90.000000,bottom
"R57","100k","R_0402_1005Metric",-51.842500,-25.392500,-90.000000,bottom
"R58","316k","R_0402_1005Metric",-38.000000,-38.350000,180.000000,bottom
"R59","100k","R_0402_1005Metric",-39.900000,-37.400000,180.000000,bottom
"R60","118k","R_0402_1005Metric",-30.400000,-38.000000,90.000000,bottom
"R65","100k","R_0402_1005Metric",-11.750000,-15.400000,90.000000,bottom
"R66","100k","R_0402_1005Metric",-11.750000,-17.400000,90.000000,bottom
"R67","51R","R_0402_1005Metric",-44.675000,-17.600000,90.000000,bottom
"R68","240R","R_0402_1005Metric",-46.750000,-16.150000,45.000000,bottom
"R69","1K","R_0402_1005Metric",-47.700000,-34.800000,-90.000000,bottom
"R70","1K","R_0402_1005Metric",-46.700000,-34.800000,90.000000,bottom
"R71","51R","R_0402_1005Metric",-44.650000,-29.300000,90.000000,bottom
"R72","240R","R_0402_1005Metric",-44.650000,-27.150000,-90.000000,bottom
"R73","100k","R_0402_1005Metric",-30.400000,-39.900000,90.000000,bottom
"R74","118k","R_0402_1005Metric",-26.800000,-37.900000,90.000000,bottom
"R90","100k","R_0402_1005Metric",-26.800000,-39.800000,90.000000,bottom
"R91","23.7k","R_0402_1005Metric",-58.600000,-27.500000,0.000000,bottom
"R92","5.1k","R_0402_1005Metric",-56.750000,-28.000000,-90.000000,bottom
"R93","51R","R_0402_1005Metric",-45.575000,-17.600000,90.000000,bottom
"R94","51R","R_0402_1005Metric",-45.600000,-29.300000,90.000000,bottom
"R95","23.7k","R_0402_1005Metric",-56.450000,-32.550000,0.000000,bottom
"R96","5.1k","R_0402_1005Metric",-54.900000,-33.100000,90.000000,bottom
"R97","47k","R_0402_1005Metric",-60.400000,-29.600000,-90.000000,bottom
"U6","TLV62569DRL","SOT-563",-42.250000,-37.400000,0.000000,bottom
"U7","TLV62569DRL","SOT-563",-53.642500,-26.842500,-90.000000,bottom
"U10","TLV62569DRL","SOT-563",-13.800000,-16.450000,180.000000,bottom
"U16","TLV75801PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-28.600000,-39.500000,-90.000000,bottom
"U17","TLV75801PDRV","WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",-25.100000,-39.500000,-90.000000,bottom
"U18","TPS2121","VQFN-HR",-57.950000,-30.550000,90.000000,bottom
"U19","LM74700","SOT-23-6",-70.630000,-31.035000,0.000000,bottom
"X1","30MHz","Oscilator_2.5x2.0",-41.100000,-6.925000,180.000000,bottom
