"Source:","/home/greg/projects/ButterStick/hardware/ButterStick/ButterStick.sch"
"Date:","Thu 21 Mar 2019 17:45:17 ACDT"
"Tool:","Eeschema 5.1.0-060a0da~80~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","181"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFG","Mfg","PN","SN-DK","Tol"
"","","R2","33K","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE33K0","","0.5%"
"","","R3","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R4","10k","Device:R","pkl_dipol:R_0402","","","Stackpole Electronics Inc","RMCF0402FT10K0","P10KDECT-ND",""
"","","R5","24k9","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE24K9","","0.5%"
"","","R6","42k2","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE42K2","","0.5%"
"","","R7","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R8","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R9","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R10","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R11","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R12","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R13","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R14","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R15","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R16","33K","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE33K0","","0.5%"
"","","R17","24k9","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE24K9","","0.5%"
"","","R18","42k2","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE42K2","","0.5%"
"","","R19","12.1K","Device:R","pkl_dipol:R_0603","~","","","P12.0KHCT-ND","ERJ-3EKF1202V",""
"","","R20","220R","Device:R","pkl_dipol:R_0402","~","","","RC0402JR-07220RL","311-220JRCT-ND",""
"","","R21","220R","Device:R","pkl_dipol:R_0402","~","","","RC0402JR-07220RL","311-220JRCT-ND",""
"","","R22","33K","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE33K0","","0.5%"
"","","R23","24k9","Device:R","pkl_dipol:C_0402","~","","Stackpole Electronics Inc","RNCF0402DTE24K9","","0.5%"
"","","R24","1k5","Device:R","pkl_dipol:R_0402","~","","","RC0402FR-071K5L","311-1.50KLRCT-ND",""
"","","R25","210k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT210K","","1%"
"","","R26","84k5","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT84K5","","1%"
"","","R27","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R28","49k9","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT49K9","","1%"
"","","R29","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R30","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R31","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R32","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R33","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R34","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R35","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R36","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R37","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R38","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R39","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R40","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R41","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R42","1k","Device:R","pkl_dipol:R_0402","","","","RC0402JR-071KL","311-1.0KJRCT-ND",""
"","","R43","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R44","22.1k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT22K1","",""
"","","R45","73.2k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT73K2","",""
"","","R46","22.1k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT22K1","",""
"","","R47","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R48","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R49","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R50","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R51","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R52","2k2","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT2K20","",""
"","","R53","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R54","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R55","0R","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402ZT0R00","",""
"","","R56","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R57","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
"","","R58","124k","Device:R","pkl_dipol:R_0402","~","","Stackpole Electronics Inc","RMCF0402FT124K","",""
